DEBUG: General     , 1684707806327> 593,808> LoggerManager.init                  > Initializing...
LOG  : General     , 1684707806398> 593,871> cachedir set to "/home/linuxgsm/Zomboid"
LOG  : General     , 1684707806463> 593,936> version=41.78.16 demo=false
LOG  : General     , 1684707806464> 593,938> revision= date= time=
LOG  : General     , 1684707806466> 593,939> unknown option "--ip"
LOG  : General     , 1684707806467> 593,940> unknown option "172.18.0.2"
LOG  : General     , 1684707806470> 593,944> server name is "dogros"
LOG  : General     , 1684707806476> 593,950> checking server WorldVersion in map_t.bin
LOG  : General     , 1684707806485> 593,959> Loading networking libraries...
LOG  : General     , 1684707806487> 593,960> Loading steam_api...
LOG  : General     , 1684707806488> 593,962> Loading RakNet64...
LOG  : General     , 1684707806491> 593,964> Loading ZNetJNI64...
LOG  : Network     , 1684707806494> 593,967> [21-05-23 22:23:26.493] > ZNet: SetLogLevel 2
LOG  : Network     , 1684707806496> 593,969> [21-05-23 22:23:26.496] > ZNet: SteamAPI initialised successfully
LOG  : General     , 1684707806497> 593,970> SteamUtils initialised successfully
LOG  : General     , 1684707806836> 594,309> translator: language is EN
LOG  : General     , 1684707806975> 594,448> LightingFPS set to 15
LOG  : General     , 1684707807009> 594,483> reading /home/linuxgsm/Zomboid/Server/dogros.ini
LOG  : General     , 1684707807015> 594,489> writing /home/linuxgsm/Zomboid/Server/dogros.ini
LOG  : Network     , 1684707807029> 594,503> [21-05-23 22:23:27.029] > ZNet: SZombienet -> SZombienet: Init
LOG  : Network     , 1684707807073> 594,547> [21-05-23 22:23:27.073] > ZNet: SteamGameServer seems to be initialized
LOG  : Network     , 1684707807076> 594,549> [21-05-23 22:23:27.076] > ZNet: SZombienet -> SSteamSDK: SetMaxPlayerCount
LOG  : General     , 1684707807079> 594,553> Waiting for response from Steam servers
LOG  : Network     , 1684707809183> 596,656> [21-05-23 22:23:29.183] > ZNet: SSteamSDK -> SZombienet: OnSteamServersConnected
LOG  : Network     , 1684707809184> 596,658> [21-05-23 22:23:29.184] > ZNet: OnSteamServersConnected
LOG  : Network     , 1684707809185> 596,659> [21-05-23 22:23:29.185] > ZNet: SZombienet -> SSteamSDK: SetMaxPlayerCount
LOG  : Network     , 1684707809187> 596,660> [21-05-23 22:23:29.186] > ZNet: Public IP: 131.72.149.179
LOG  : General     , 1684707809188> 596,662> Start making backup to: /home/linuxgsm/Zomboid/backups/startup
LOG  : General     , 1684707811224> 598,697> compressionElapsed=1626ms, mergingElapsed=405ms
LOG  : General     , 1684707811238> 598,711> Backup made in 2048 ms
LOG  : General     , 1684707811253> 598,727> user database "/home/linuxgsm/Zomboid/db/dogros.db"
LOG  : General     , 1684707811591> 599,065> admin password changed via -adminpassword option
LOG  : General     , 1684707811592> 599,066> Router detection/configuration starting.
LOG  : General     , 1684707811593> 599,066> If the server hangs here, set UPnP=false.
LOG  : Network     , 1684707823607> 611,080> No UPnP-enabled Internet gateway found, you must configure port forwarding on your gateway manually in order to make your server accessible from the Internet.
LOG  : Network     , 1684707823608> 611,082> Initialising Server Systems...
LOG  : Lua         , 1684707824156> 611,629> Loading: media/lua/shared/Sandbox/Apocalypse.lua
LOG  : General     , 1684707825164> 612,638> scriptChecksum: 65f5e46ef1be089d5adca89001729e9c
WARN : Recipe      , 1684707825176> 612,650> RecipeManager.resolveItemModuleDotType> WARNING: module "Base" may have forgot to import module Base
WARN : Script      , 1684707825186> 612,660> ModelScript.check> no such model "null" for Base.BareHands
WARN : Script      , 1684707825189> 612,662> ModelScript.check> no such model "???.DisposableRazor" for Base.Razor
WARN : Script      , 1684707825200> 612,674> ModelScript.check> no such model "Chainsaw" for Base.Chainsaw
LOG  : General     , 1684707825604> 613,078> LOADING ASSETS: START
LOG  : General     , 1684707833414> 620,888> LOADING ASSETS: FINISH
LOG  : Lua         , 1684707833426> 620,899> Loading: media/lua/shared/a_requires.lua
LOG  : Lua         , 1684707833427> 620,901> Loading: media/lua/shared/defines.lua
LOG  : Lua         , 1684707833429> 620,902> Loading: media/lua/shared/Definitions/AttachedWeaponDefinitions.lua
LOG  : Lua         , 1684707833435> 620,909> Loading: media/lua/shared/Definitions/ClothingRecipesDefinitions.lua
LOG  : Lua         , 1684707833437> 620,910> Loading: media/lua/shared/Definitions/ClothingSelectionDefinitions.lua
LOG  : Lua         , 1684707833441> 620,914> Loading: media/lua/shared/Definitions/ContainerButtonIcons.lua
LOG  : Lua         , 1684707833456> 620,930> Loading: media/lua/shared/Definitions/DamageModelDefinitions.lua
LOG  : Lua         , 1684707833459> 620,932> Loading: media/lua/shared/Definitions/DefaultClothing.lua
LOG  : Lua         , 1684707833460> 620,934> Loading: media/lua/shared/Definitions/FitnessExercises.lua
LOG  : Lua         , 1684707833462> 620,936> Loading: media/lua/shared/Definitions/HairOutfitDefinitions.lua
LOG  : Lua         , 1684707833464> 620,937> Loading: media/lua/shared/Definitions/MakeUpDefinitions.lua
LOG  : Lua         , 1684707833467> 620,940> Loading: media/lua/shared/Definitions/MapSymbolDefinitions.lua
LOG  : Lua         , 1684707833471> 620,944> Loading: media/lua/shared/Definitions/SmashedCarDefinitions.lua
LOG  : Lua         , 1684707833473> 620,946> Loading: media/lua/shared/Definitions/UnderwearDefinition.lua
LOG  : Lua         , 1684707833474> 620,948> Loading: media/lua/shared/Fishing/fishing_properties.lua
LOG  : Lua         , 1684707833480> 620,953> Loading: media/lua/shared/Foraging/forageDefinitions.lua
LOG  : Lua         , 1684707833513> 620,987> Loading: media/lua/shared/Foraging/forageSystem.lua
LOG  : Lua         , 1684707833524> 620,997> Loading: media/lua/shared/ISBaseObject.lua
LOG  : Lua         , 1684707833525> 620,998> Loading: media/lua/shared/iwbumstempmodelcompat.lua
LOG  : Lua         , 1684707833526> 620,999> Loading: media/lua/shared/JoyPad/JoyPadSetup.lua
LOG  : Lua         , 1684707833532> 621,006> Loading: media/lua/shared/keyBinding.lua
LOG  : Lua         , 1684707833535> 621,008> Loading: media/lua/shared/Logs/ISLogSystem.lua
LOG  : Lua         , 1684707833537> 621,010> Loading: media/lua/shared/Logs/ISPerkLog.lua
LOG  : Lua         , 1684707833539> 621,012> Loading: media/lua/shared/luautils.lua
LOG  : Lua         , 1684707833542> 621,016> Loading: media/lua/shared/NPCs/AttachedLocations.lua
LOG  : Lua         , 1684707833546> 621,019> Loading: media/lua/shared/NPCs/BodyLocations.lua
LOG  : Lua         , 1684707833554> 621,027> Loading: media/lua/shared/NPCs/MainCreationMethods.lua
LOG  : Lua         , 1684707833579> 621,052> Loading: media/lua/shared/NPCs/ZombiesZoneDefinition.lua
LOG  : Lua         , 1684707833582> 621,055> Loading: media/lua/shared/RecordedMedia/ISRecordeMedia.lua
LOG  : Lua         , 1684707833583> 621,056> Loading: media/lua/shared/RecordedMedia/recorded_media.lua
LOG  : Lua         , 1684707833641> 621,115> Loading: media/lua/shared/Reloading/ISRackAction.lua
LOG  : Lua         , 1684707833643> 621,116> Loading: media/lua/shared/TimedActions/ISBaseTimedAction.lua
LOG  : Lua         , 1684707833645> 621,118> Loading: media/lua/shared/Reloading/ISReloadable.lua
LOG  : Lua         , 1684707833647> 621,121> Loading: media/lua/shared/Reloading/ISReloadableMagazine.lua
LOG  : Lua         , 1684707833649> 621,122> Loading: media/lua/shared/Reloading/ISReloadableWeapon.lua
LOG  : Lua         , 1684707833650> 621,124> Loading: media/lua/shared/Reloading/ISReloadAction.lua
LOG  : Lua         , 1684707833652> 621,126> Loading: media/lua/shared/Reloading/ISReloadManager.lua
LOG  : Lua         , 1684707833654> 621,128> Loading: media/lua/shared/Reloading/ISReloadUtil.lua
LOG  : Lua         , 1684707833657> 621,130> Loading: media/lua/shared/Reloading/ISSemiAutoWeapon.lua
LOG  : Lua         , 1684707833659> 621,132> Loading: media/lua/shared/Reloading/ISShotgunWeapon.lua
LOG  : Lua         , 1684707833661> 621,134> Loading: media/lua/shared/Reloading/ISRevolverWeapon.lua
LOG  : Lua         , 1684707833663> 621,136> Loading: media/lua/shared/Reloading/stormysReload.lua
LOG  : Lua         , 1684707833664> 621,137> Loading: media/lua/shared/Sandbox/Beginner.lua
LOG  : Lua         , 1684707833665> 621,139> Loading: media/lua/shared/Sandbox/Builder.lua
LOG  : Lua         , 1684707833667> 621,140> Loading: media/lua/shared/Sandbox/FirstWeek.lua
LOG  : Lua         , 1684707833668> 621,142> Loading: media/lua/shared/Sandbox/SandboxVars.lua
LOG  : Lua         , 1684707833670> 621,143> Loading: media/lua/shared/Sandbox/Survival.lua
LOG  : Lua         , 1684707833671> 621,145> Loading: media/lua/shared/Sandbox/SixMonthsLater.lua
LOG  : Lua         , 1684707833673> 621,147> Loading: media/lua/shared/Sandbox/Survivor.lua
LOG  : Lua         , 1684707833675> 621,148> Loading: media/lua/shared/SoundBanks/SoundBanks.lua
LOG  : Lua         , 1684707833678> 621,151> Loading: media/lua/shared/SpawnRegions.lua
LOG  : Lua         , 1684707833680> 621,153> Loading: media/lua/shared/StashDescriptions/LouisvilleStashDesc.lua
LOG  : Lua         , 1684707833682> 621,156> Loading: media/lua/shared/StashDescriptions/StashUtil.lua
LOG  : Lua         , 1684707833684> 621,158> Loading: media/lua/shared/StashDescriptions/MarchRidgeStashDesc.lua
LOG  : Lua         , 1684707833687> 621,161> Loading: media/lua/shared/StashDescriptions/MulStashDesc.lua
LOG  : Lua         , 1684707833689> 621,163> Loading: media/lua/shared/StashDescriptions/RiversideStashDesc.lua
LOG  : Lua         , 1684707833691> 621,165> Loading: media/lua/shared/StashDescriptions/RosewoodStashDesc.lua
LOG  : Lua         , 1684707833693> 621,166> Loading: media/lua/shared/StashDescriptions/WpStashDesc.lua
LOG  : Lua         , 1684707833695> 621,168> Loading: media/lua/shared/Util/AdjacentFreeTileFinder.lua
LOG  : Lua         , 1684707833698> 621,171> Loading: media/lua/shared/Util/BuildingHelper.lua
LOG  : Lua         , 1684707833700> 621,173> Loading: media/lua/shared/Util/ISPriorityTable.lua
LOG  : Lua         , 1684707833701> 621,175> Loading: media/lua/shared/Util/LuaList.lua
LOG  : Lua         , 1684707833703> 621,177> Loading: media/lua/shared/Util/LuaNet.lua
LOG  : Lua         , 1684707833706> 621,179> Loading: media/lua/shared/Util/StringReplacer.lua
LOG  : Lua         , 1684707833707> 621,181> Loading: media/lua/shared/VehicleZoneDefinition.lua
LOG  : Lua         , 1684707833762> 621,236> Loading: media/lua/server/BuildingObjects/ISAnvil.lua
LOG  : Lua         , 1684707833764> 621,238> Loading: media/lua/server/BuildingObjects/ISBuildingObject.lua
LOG  : Lua         , 1684707833768> 621,241> Loading: media/lua/server/BuildingObjects/ISBarbedWire.lua
LOG  : Lua         , 1684707833770> 621,243> Loading: media/lua/server/BuildingObjects/ISBrushToolTileCursor.lua
LOG  : Lua         , 1684707833771> 621,245> Loading: media/lua/server/BuildingObjects/ISBSFurnace.lua
LOG  : Lua         , 1684707833773> 621,246> Loading: media/lua/server/BuildingObjects/ISBuildCursorMouse.lua
LOG  : Lua         , 1684707833774> 621,247> Loading: media/lua/server/BuildingObjects/ISBuildUtil.lua
LOG  : Lua         , 1684707833776> 621,250> Loading: media/lua/server/BuildingObjects/ISChopTreeCursor.lua
LOG  : Lua         , 1684707833777> 621,251> Loading: media/lua/server/BuildingObjects/ISCleanBloodCursor.lua
